Seat No,I.LAW,FC2,ENG2,ENG3,ECO2,ECO3,POL2,POL3,Total,CGPA
14001,10,16,24,24,18,15,18,21,146,6.64
14002,0,12,24,24,12,12,12,15,111,0.00
14003,10,14,21,24,15,15,12,18,129,5.86
14004,10,0,12,12,18,12,0,0,64,0.00
14005,8,12,15,12,12,12,0,12,83,0.00
14006,10,12,24,24,12,12,15,12,121,5.50
14007,8,12,21,0,12,0,0,0,53,0.00
14008,12,16,27,24,12,15,15,12,133,6.05
14009,18,20,30,30,27,27,24,27,203,9.23
14010,10,14,24,18,12,12,0,12,102,0.00
14011,10,12,21,24,12,18,15,12,124,5.64
14012,0,12,12,12,12,12,0,12,72,0.00
14013,8,12,15,0,12,18,0,12,77,0.00
14014,8,10,12,12,12,12,0,12,78,0.00
14015,8,10,15,12,12,12,12,15,96,4.36
14016,8,12,12,15,12,0,0,12,71,0.00
14017,8,10,12,0,12,12,0,0,54,0.00
14018,8,0,15,12,12,12,0,12,71,0.00
14019,8,12,21,21,12,12,18,18,122,5.55
14020,16,16,24,24,24,24,24,27,179,8.14
14021,8,14,24,18,12,21,15,12,124,5.64
14022,16,16,27,24,18,18,18,24,161,7.32
14023,0,8,12,0,12,12,12,12,68,0.00
14024,14,16,27,24,18,18,15,24,156,7.09
14025,8,12,15,15,12,0,12,12,86,0.00
14026,12,0,18,12,0,12,0,12,66,0.00
14027,14,20,27,30,27,24,21,27,190,8.64
14028,12,16,24,18,18,15,18,15,136,6.18
14029,0,0,0,0,0,0,0,0,0,0.00
14030,0,10,21,12,12,0,0,0,55,0.00
14031,16,16,24,21,21,18,21,24,161,7.32
14032,16,14,24,21,18,12,18,21,144,6.55
14033,12,18,24,27,24,24,21,24,174,7.91
14034,8,12,12,0,12,0,0,0,44,0.00
14035,8,14,12,0,12,12,0,12,70,0.00
14036,10,16,24,18,15,15,12,12,122,5.55
14037,0,0,0,0,0,12,0,0,12,0.00
14038,10,12,0,12,12,12,12,12,82,0.00
14039,10,12,24,18,15,18,12,18,127,5.77
14040,8,10,12,12,12,12,0,12,78,0.00
14041,8,0,0,12,12,12,12,12,68,0.00
14042,18,18,24,27,27,24,24,27,189,8.59
14043,18,14,24,27,24,30,24,30,191,8.68
14044,8,10,0,0,0,12,0,0,30,0.00
14045,8,12,12,12,15,15,12,12,98,4.45
14046,12,12,24,12,12,12,12,12,108,4.91
14047,18,16,24,21,30,30,21,27,187,8.50
14048,14,16,24,24,18,24,15,21,156,7.09
14049,8,12,21,18,12,12,12,12,107,4.86
14050,16,0,0,15,15,21,15,0,82,0.00
14051,18,18,24,24,30,30,21,30,195,8.86
14052,0,10,0,0,0,0,0,0,10,0.00
14053,18,20,24,27,27,30,24,30,200,9.09
14054,16,10,24,21,15,21,15,18,140,6.36
14055,10,14,12,12,12,12,0,12,84,0.00
14056,8,10,0,12,12,12,0,12,66,0.00
14057,16,14,27,24,18,21,18,18,156,7.09
14058,20,18,27,24,30,27,21,27,194,8.82
14059,8,16,21,21,12,12,0,12,102,0.00
14060,0,12,21,12,12,0,0,0,57,0.00
14061,20,20,30,27,30,30,24,27,208,9.45
14062,8,10,18,12,12,15,0,12,87,0.00
14063,12,14,24,15,12,24,12,12,125,5.68
14064,12,14,24,18,15,18,12,12,125,5.68
14065,10,16,0,24,12,12,12,12,98,0.00
14066,0,12,12,12,15,0,0,12,63,0.00
14067,0,10,0,12,0,0,0,0,22,0.00
14068,12,14,24,21,21,24,15,21,152,6.91
14069,14,16,24,18,12,15,12,12,123,5.59
14070,12,0,0,12,12,24,15,0,75,0.00
14071,16,14,24,21,12,18,18,15,138,6.27
14072,14,14,24,24,15,24,21,24,160,7.27
14073,20,20,27,24,24,27,24,30,196,8.91
14074,18,16,24,24,0,24,15,15,136,0.00
14075,8,10,12,21,0,12,0,0,63,0.00
14076,12,12,15,15,18,15,15,21,123,5.59
14077,18,18,24,21,18,24,21,30,174,7.91
14078,12,14,24,24,12,24,12,24,146,6.64
14079,20,16,24,27,30,30,24,30,201,9.14
14080,16,14,15,18,18,24,21,24,150,6.82
14081,16,12,24,12,18,27,21,18,148,6.73
14082,20,20,30,27,27,30,24,30,208,9.45
14083,10,14,24,21,0,18,12,12,111,0.00
14084,12,14,21,18,12,12,12,12,113,5.14
14085,8,16,18,12,12,24,0,12,102,0.00
14086,20,16,18,15,27,27,18,24,165,7.50
14087,12,10,24,18,12,24,18,24,142,6.45
14088,16,10,21,18,0,18,18,15,116,0.00
14089,16,18,24,24,27,24,24,27,184,8.36
14090,8,12,0,12,0,0,0,12,44,0.00
14091,18,18,24,24,24,27,15,24,174,7.91
14092,18,18,24,24,0,0,21,0,105,0.00
14093,0,12,15,18,0,0,0,12,57,0.00
14094,20,14,24,24,27,27,24,24,184,8.36
14095,16,12,24,21,24,24,21,24,166,7.55
14096,12,16,24,21,18,18,12,21,142,6.45
14097,12,12,24,18,0,15,15,15,111,0.00
14098,12,18,24,24,15,21,18,21,153,6.95
14099,10,16,18,21,0,12,12,12,101,0.00
14100,0,10,0,12,0,0,12,15,49,0.00
14101,20,16,30,27,27,27,24,27,198,9.00
14102,18,16,24,24,15,24,18,24,163,7.41
14103,8,10,18,12,0,12,12,12,84,0.00
14104,8,14,24,21,12,12,12,0,103,0.00
14105,12,16,21,15,15,21,21,15,136,6.18
14106,0,0,12,0,0,0,0,0,12,0.00
14107,12,16,21,24,18,27,21,21,160,7.27
14108,8,14,15,18,0,0,12,15,82,0.00
14109,8,16,18,21,0,12,12,12,99,0.00
14110,8,12,0,12,0,12,0,0,44,0.00
14111,8,14,15,12,12,21,12,15,109,4.95
14112,8,12,12,12,12,18,12,12,98,4.45
14113,10,12,18,18,12,12,15,12,109,4.95
14114,10,14,12,21,12,0,12,12,93,0.00
14115,8,14,21,21,12,12,12,15,115,5.23
14116,16,10,21,18,21,24,21,15,146,6.64
14117,0,10,12,15,12,12,12,12,85,0.00
14118,8,10,15,12,12,12,12,12,93,4.23
14119,16,16,21,24,15,24,21,24,161,7.32
14120,20,20,30,27,24,30,24,30,205,9.32
14121,8,12,21,12,12,12,12,12,101,4.59
14122,12,16,18,24,15,12,18,18,133,6.05
14123,8,10,15,18,0,21,21,24,117,0.00
14124,12,16,24,24,12,24,18,24,154,7.00
14125,12,18,24,21,15,21,18,24,153,6.95
14126,10,18,24,24,12,12,12,24,136,6.18
14127,14,16,24,24,18,24,18,24,162,7.36
14128,16,12,24,18,12,12,21,12,127,5.77
14129,8,14,24,24,15,18,12,12,127,5.77
14130,0,10,24,21,12,21,12,18,118,0.00
14131,8,12,24,18,12,12,0,12,98,0.00
14132,8,10,12,12,18,15,12,12,99,4.50
14133,8,14,27,24,18,24,12,24,151,6.86
14134,8,14,21,15,18,27,18,24,145,6.59
14135,8,12,15,12,12,12,0,12,83,0.00
14136,8,10,12,18,12,18,12,12,102,4.64
14137,0,12,30,21,21,24,15,0,123,0.00
14138,0,16,15,18,15,21,12,18,115,0.00
14139,0,10,12,12,12,12,0,0,58,0.00
14140,0,10,12,12,12,12,0,0,58,0.00
14141,8,12,12,12,15,12,12,12,95,4.32
14142,14,10,18,24,21,21,12,15,135,6.14
14143,8,0,18,21,12,12,0,12,83,0.00
14144,16,0,0,18,15,24,0,12,85,0.00
14145,10,14,27,24,18,15,12,12,132,6.00
14146,0,0,24,24,15,12,12,21,108,0.00
14147,16,12,24,24,18,24,0,12,130,0.00
14148,8,10,12,15,0,12,12,12,81,0.00
14149,10,0,24,18,12,24,0,0,88,0.00
14150,8,14,24,24,21,21,0,12,124,0.00
14151,8,0,18,18,15,15,0,12,86,0.00
14152,0,10,15,12,12,15,0,12,76,0.00
14153,20,16,27,21,24,27,24,24,183,8.32
14154,14,12,15,21,15,18,15,15,125,5.68
14155,12,12,21,15,18,18,12,15,123,5.59
14156,0,10,12,12,12,12,0,12,70,0.00
14157,0,10,12,24,12,12,12,12,94,0.00
14158,16,12,27,27,24,27,12,24,169,7.68
14159,0,0,21,12,12,12,0,0,57,0.00
14160,16,10,24,12,21,24,18,24,149,6.77
14161,8,0,0,0,12,12,0,0,32,0.00
14162,8,12,21,12,12,12,12,12,101,4.59
14163,8,10,0,0,0,12,12,12,54,0.00
14164,8,12,15,18,0,15,15,12,95,0.00
14165,12,20,24,27,24,24,21,21,173,7.86
14166,16,16,24,18,18,18,15,21,146,6.64
14167,0,10,12,12,0,0,0,0,34,0.00
14168,8,12,18,24,0,0,0,0,62,0.00
14169,8,12,0,12,0,0,0,12,44,0.00
14170,0,12,0,12,0,0,12,12,48,0.00
14171,8,16,12,12,0,12,12,12,84,0.00
14172,12,16,21,21,12,24,15,21,142,6.45
14173,8,16,15,15,12,12,12,18,108,4.91
14174,8,16,21,24,0,15,18,12,114,0.00
14175,14,16,27,24,27,24,24,21,177,8.05
14176,0,0,0,12,0,0,0,0,12,0.00
14177,8,0,15,21,18,0,12,15,89,0.00
14178,8,12,12,12,12,0,12,12,80,0.00
14179,8,14,21,18,0,0,12,12,85,0.00
14180,8,12,0,21,0,0,0,0,41,0.00
14181,8,10,18,12,0,12,12,0,72,0.00
14182,8,12,18,21,12,12,12,0,95,0.00
14183,12,16,24,24,24,27,21,15,163,7.41
14184,8,12,18,15,12,15,12,12,104,4.73
14185,8,14,18,15,0,12,12,15,94,0.00
14186,0,10,12,15,0,12,12,12,73,0.00
14187,0,0,0,0,0,0,0,0,0,0.00
14188,16,16,24,24,15,24,18,15,152,6.91
14189,8,12,12,15,0,0,0,0,47,0.00
14190,0,0,15,12,12,0,0,0,39,0.00
14191,8,16,24,21,21,21,21,15,147,6.68
14192,8,10,12,12,0,12,0,0,54,0.00
14193,8,16,24,18,0,24,21,15,126,0.00
14194,8,10,15,12,12,15,12,18,102,4.64
14195,0,0,0,0,0,0,0,0,0,0.00
14196,12,12,21,18,15,18,15,21,132,6.00
14197,0,12,12,12,0,0,12,0,48,0.00
14198,8,14,21,24,12,24,12,18,133,6.05
14199,8,16,24,24,18,18,12,12,132,6.00
14200,8,14,15,21,0,15,12,12,97,0.00
14201,0,10,0,12,12,12,0,0,46,0.00
14202,0,12,18,12,18,18,21,18,117,0.00
14203,0,10,12,12,12,0,12,12,70,0.00
14204,8,12,12,24,18,18,15,18,125,5.68
14205,0,16,18,15,24,12,12,12,109,0.00
14206,0,0,0,0,0,0,0,0,0,0.00
14207,0,0,0,0,0,0,0,0,0,0.00
14208,0,10,18,12,15,12,12,12,91,0.00
14209,8,10,18,18,12,12,12,12,102,4.64
14210,0,12,12,18,15,12,12,12,93,0.00
14211,0,12,21,12,18,12,12,12,99,0.00
14212,0,14,24,18,18,18,12,12,116,0.00
14213,16,16,30,24,18,24,24,27,179,8.14
14214,8,10,18,18,12,12,15,12,105,4.77
14215,14,14,24,24,24,27,30,24,181,8.23
14216,0,10,12,15,12,12,12,15,88,0.00
14217,0,10,21,24,21,15,18,24,133,0.00
14218,0,12,12,12,12,12,12,12,84,0.00
14219,0,10,12,21,12,12,12,12,91,0.00
14220,0,0,0,0,0,0,0,0,0,0.00
14221,0,12,12,12,12,0,0,12,60,0.00
14222,14,18,30,27,24,27,27,30,197,9.00
14223,8,12,12,15,12,12,12,0,83,0.00
14224,0,0,12,12,12,12,0,0,48,0.00
14225,0,14,21,18,21,15,12,12,113,0.00
14226,8,14,24,24,24,24,24,24,166,7.55
14227,0,0,0,12,0,0,0,0,12,0.00
14228,16,18,30,27,24,27,27,27,196,8.91
14229,0,12,0,24,18,15,12,12,93,0.00
14230,8,14,18,21,18,18,12,12,121,5.50
14231,8,16,24,24,24,21,18,27,162,7.36
14232,8,12,15,15,12,12,12,12,98,4.45
14233,0,12,12,18,18,18,12,18,108,0.00
14234,0,0,0,0,0,0,0,0,0,0.00
14235,0,0,0,0,0,0,0,0,0,0.00
14236,0,12,18,18,12,15,15,12,102,0.00
14237,8,12,18,21,15,12,0,12,98,0.00
14238,10,14,24,21,15,12,12,24,132,6.00
14239,10,16,30,27,18,12,21,18,152,6.91
14240,8,0,15,12,12,12,12,15,86,0.00
14241,0,14,0,15,12,12,0,0,53,0.00
14242,0,10,0,15,12,12,12,12,73,0.00
14243,10,12,15,18,12,15,12,18,112,5.09
14244,0,14,24,24,21,18,15,12,128,0.00
14245,8,12,15,12,12,0,12,12,83,0.00
14246,0,8,18,18,12,12,21,24,113,0.00
14247,0,10,15,0,0,0,12,12,49,0.00
14248,0,12,18,12,21,12,15,12,102,0.00
14249,0,12,15,12,12,15,12,12,90,0.00
14250,0,12,15,18,12,12,15,12,96,0.00
14251,0,12,12,18,12,12,12,12,90,0.00
14252,8,8,12,12,12,0,12,12,76,0.00
14253,0,14,18,15,0,12,12,21,92,0.00
14254,0,0,0,0,0,0,0,0,0,0.00
14255,8,14,21,12,12,12,21,21,121,5.50
14256,8,10,15,12,15,12,12,12,96,4.36
14257,0,14,21,12,0,0,12,12,71,0.00
14258,8,10,15,12,12,0,15,15,87,0.00
14259,14,12,18,12,12,12,12,12,104,4.73
14260,0,14,18,12,0,0,12,12,68,0.00
14261,0,14,21,12,12,12,15,15,101,0.00
14262,0,12,15,15,12,12,18,15,99,0.00
14263,8,16,30,21,12,21,21,24,153,6.95
14264,0,14,12,12,12,12,18,18,98,0.00
14265,0,0,12,12,0,0,12,12,48,0.00
14266,8,16,30,27,18,18,21,27,165,7.50
14267,0,14,21,12,12,18,18,24,119,0.00
14268,8,12,15,12,18,12,12,18,107,4.86
14269,8,14,27,27,12,24,18,21,151,6.86
14270,0,12,21,18,12,18,24,24,129,0.00
14271,0,0,0,12,0,0,0,0,12,0.00
14272,8,8,15,18,15,0,18,18,100,0.00
14273,8,10,12,12,12,12,12,12,90,4.09
14274,0,10,12,12,0,12,21,18,85,0.00
14275,8,10,15,12,0,12,12,12,81,0.00
14276,0,8,0,12,0,0,12,12,44,0.00
14277,0,12,21,18,12,12,15,12,102,0.00
14278,8,16,27,15,15,18,12,21,132,6.00
14279,8,10,21,12,24,21,18,12,126,5.73
14280,8,10,15,15,12,12,12,12,96,4.36
14281,0,10,12,12,12,12,12,12,82,0.00
14282,0,8,12,12,0,0,12,12,56,0.00
14283,0,14,24,12,15,18,21,21,125,0.00
14284,0,12,12,12,15,15,15,21,102,0.00
14285,0,12,0,12,12,0,15,15,66,0.00
14286,0,0,0,0,0,0,0,0,0,0.00
14287,0,10,0,12,12,18,21,12,85,0.00
14288,0,0,0,12,12,0,12,12,48,0.00
14289,8,12,24,15,24,21,21,18,143,6.50
14290,8,8,0,12,15,12,12,12,79,0.00
14291,0,10,12,12,18,12,18,15,97,0.00
14292,14,14,30,15,24,24,27,21,169,7.68
14293,8,12,21,24,21,24,21,18,149,6.77
14294,8,0,12,12,18,15,12,12,89,0.00
14295,0,12,0,12,12,12,18,12,78,0.00
14296,16,18,30,30,27,30,30,27,208,9.45
14297,0,10,0,12,15,18,18,21,94,0.00
14298,0,14,27,21,24,21,18,15,140,0.00
14299,0,14,24,12,21,15,18,24,128,0.00
14300,0,10,0,0,12,12,12,12,58,0.00
14301,0,8,12,12,15,12,24,18,101,0.00
14302,8,10,15,12,12,12,12,12,93,4.23
14303,0,12,12,12,12,12,18,15,93,0.00
14304,0,8,0,12,12,0,12,12,56,0.00
